uid,did,type,area
9c492f53c88b3ffef02bb0cb24e2aa79,8ea14a605c30508e5d8d9b6219f828b5,Z4A1,儿童房一键开关1
34b9979fa81851bb7f779ba5bd45fc6c,b57e551224c7f0922db8e4aab0200fff,Z7A4,门磁传感器
1be958f38f767d0f0990ef16843c7986,b8da9435e3e7ee96ae91db203213cdca,S4A4,平开帘
1be958f38f767d0f0990ef16843c7986,a8f7e9629af110187f17c0a3f42cd336,WZA3,二楼网关
e4843dafbb346865539fc9fb61c88e54,460f87fbfa416b9648e95faf85e78e91,Z1A1,电视插座
9ce2de3200a4b0ba8153a95bb60078bb,b3b190bd92417c500d5da95c686ac138,Z6A2,过道安防
0206cf6107f21340a570fad2be0589ac,db1a53c4e259f102c851094449915ea1,S4A4,办公室窗帘
0206cf6107f21340a570fad2be0589ac,15e0e5693760abd69218e656c9d668a1,S4A4,客厅窗帘
c8f8ddbab9b923b48d907be22a76a866,da1bc2993f07837097b9ed50dddd5a51,Z4A3,客厅灯
5c0ebd3600e954775943a01ac414334f,2c182d2af8c738109c1b6947e12578d3,NaA1,门锁
518868c2136e6841ce99da4944ef6a21,e769209f06277e14b14a32327b66e960,S1Ah,次卧大灯
9c141827e3c1a04b88d36f4b11874ac2,e766cbe12d99f19ac07226efe5ecf558,Z4A3,棋牌室侧门
b3f52beefbc73ad0de36093ff440e0d9,da2650c0dd2feeae41c6b8d393c2043c,Z4A2,餐厅
1073ed550e52630b042381b3e29c5821,6038e2529f9b8c48bb5d211e1a1f3e7c,S4A4,平开帘
9c141827e3c1a04b88d36f4b11874ac2,f34e4092c8ff9456cc4f119ae835a910,Z4A3,负1层棋牌室
9ce2de3200a4b0ba8153a95bb60078bb,65cc9effa58ef2600f061855963246bd,Z7A4,门磁传感器
9ce2de3200a4b0ba8153a95bb60078bb,6cc16d144e74ce6c6963c09d152720c3,Z6A2,人体红外
1be958f38f767d0f0990ef16843c7986,5779d73e88631baeec5b863c51b01444,WZA3,一楼网关
e7f09fbebebb993b8af76b4e7c5b5df2,31c6be40ce2d26c6fd92460f19fe5dda,WZA3,网关
9c141827e3c1a04b88d36f4b11874ac2,abd09c3aefdc142990fb8ad9e9eb59d1,Z4A2,负1层电梯厅
b3f52beefbc73ad0de36093ff440e0d9,f077520ea6008bf2a316d0837102d233,Z5A2,次卧电机
b3f52beefbc73ad0de36093ff440e0d9,16870f738e27c0fa8c2df82ae53e3282,Z5A2,主卧窗帘
bf4400167db3fae873ea3a3d463f2489,85b137e885c047f19fe47a5b13bd9fd9,WGA1,荣泰按摩椅
43f3b86d37a929ea528989183772011b,7fce80d7c205f5ecf6c7cf34f66b4205,Z4A1,阳台
5b2bf824c7c92984320f4acc3835ed92,0cacb87f2eb06e2da45dfa510f88b2b9,S4A3,卷帘
c5258b5ba314dc873c6f74c91d6528da,b20a95cb481a2b3f9b75954ffc0588cd,WBA1,语音管家
b3f52beefbc73ad0de36093ff440e0d9,5316e758b8b9434a275639ff858d96cc,Z4A1,厨房灯
06439a14c903a65fa6b3726ec6753c2c,fe2770b4899ee57d5d61c068f58e85ab,S1Ah,次卧大灯
c2d7e10e9fbb34f16633a2d3ea7c8478,f5dbcfebd570ad67c79bb20b89e22e7f,WQA4,情景开关
d604b2f3b2eaa97dd86493ca37dbe8ad,85473a0b66ec2b5f6e34e08b81802798,Z4A1,进门灯
e8b42f4d6900c7ace818823f026db21a,6abd8b7421105033d5ddd450f61d6b63,S1Ah,次卧
d07d150a2e4d36573d27bc9afa1c2661,513759125b7c6c4ae9b21f0b3bd83191,Z4A1,三楼走廊灯
1be958f38f767d0f0990ef16843c7986,b727797f689d1ae406d3489975744f54,T5A2,水浸传感器
de50570ccb43098850daec988aee39da,4c70770f9a3aa0cc9b81450768b6192a,Z5A2,主卧
c383f045dfed54dbb69ba39abcdd2ef2,85da75d0ab0170074e58c0edddc3a2fa,Z5A2,纱帘
de50570ccb43098850daec988aee39da,f2d9bc0c36b598f83934f010da06f22a,Z5A2,餐厅
c383f045dfed54dbb69ba39abcdd2ef2,7d0051512d7e255cb00192113def439a,Z5A2,客厅窗帘
de50570ccb43098850daec988aee39da,76da0ac3d5791eab04aeedb186c6624d,Z5A2,书房
6cde6a49084274633193da2673278692,e8e2257c212ff4272a1c4e24063d46aa,WZA3,网关
1be958f38f767d0f0990ef16843c7986,37b1c6cc60f97ea5a6fa7fb7deb5da9e,Z7A4,二楼门磁传感器
1be958f38f767d0f0990ef16843c7986,2290023019c1598b00ece7005c515baa,T5A2,水浸传感器
c5258b5ba314dc873c6f74c91d6528da,e56b6c62851bb51410ce83dc478878e6,Z1A1,插座
1be958f38f767d0f0990ef16843c7986,b4fed4a565b337dbddf9557b04429aaf,Z6A2,二楼人体红外
c5258b5ba314dc873c6f74c91d6528da,9b8f90cd4f18b9218eac71fe89b094a2,Z1A1,插座
1be958f38f767d0f0990ef16843c7986,e3dcf3b61ad8bdf027755d7dadb63358,Z7A4,门磁传感器
95d59529e9c086ac56ee6e01727b5063,e266708e48c5f01d7935b9d1686d4583,Z4A1,入户灯
de50570ccb43098850daec988aee39da,08bad7e3ee4df3a0577da8ddee69ba81,Z5A2,次卧
e7f09fbebebb993b8af76b4e7c5b5df2,969ef4752f6a09af79c8c6a4bb106045,S4A4,平开帘
de50570ccb43098850daec988aee39da,1acdd51e8cfe11c1968a86b5fbcb5e34,Z4A3,餐厅
c5258b5ba314dc873c6f74c91d6528da,a409278e988b5a044482076a1d67eaed,Z1A1,插座
db6f2e038fb9803908cc6dba9fbd54d6,2b8d08c69f8babfdcc4ceae7ec0137ae,Z4A2,二键开关
c5258b5ba314dc873c6f74c91d6528da,82b2765d86335a541365327a773355bb,Z1A1,插座
bb06efcc5279dc21f3a027ed7009ed1b,fb76235381098cc252af4071ecd740f7,WQA4,餐厅
e8b42f4d6900c7ace818823f026db21a,b30c5b2e78284628a767fa787307eabc,S1Ai,厨房客厅
e0961d63c58797dec339c64c82509c3a,739c234da03865bb7e4d023338c2d584,Z4A1,楼梯灯
06439a14c903a65fa6b3726ec6753c2c,7dfacfff60d463ab32de95caca45f123,S1Ai,客厅开关
82528c133ba59c8dee89fcc6e9487fb7,667703b83cceefa78da67dfb192bca18,WZA3,网关
5bf3bc64a6d18f42eda94c7c4dbd3be4,07f85e30500bca7742557b5306ecaab1,Z4A1,三楼楼梯
82528c133ba59c8dee89fcc6e9487fb7,2240d3bd16b8039f11ed922561317256,Z4A1,客厅双控
65d4091103ff7fefe884897985801ae3,ca722d91702cc9e592d7aa52c0b78b63,NaA1,王延卿的家
6cde6a49084274633193da2673278692,402c1fdd984013546874e9fe268430f8,Z7A4,门磁传感器
6cde6a49084274633193da2673278692,07062746b635ae47d21308538aabea27,S4A4,主卧窗帘
6cde6a49084274633193da2673278692,d80f897ce5614473fada0ee5524ef1c1,S4A4,主卧纱窗
6cde6a49084274633193da2673278692,4eab4adb619a8afdce6c61eb4a2de26c,S4A4,宇卧窗帘
f415ff798aa6102ed7c2bb4069743d32,2a3e742ade120959a21d9818a80f1d77,WZA3,体验间
f415ff798aa6102ed7c2bb4069743d32,b10f1c615a6e51e153060e5d25f4cfa1,S4A4,窗帘
69188282584042771737d36798cd1e2a,fc00117e0a3eb76c41c3af7eb3956874,Z4A1,卧室灯1
de50570ccb43098850daec988aee39da,07fa939cab25ac2222aba4fcb6100684,Z4A3,客厅
6cde6a49084274633193da2673278692,473fc0869b8401ced1f47fcb5bd473a5,S4A4,萱卧窗帘
6cde6a49084274633193da2673278692,7a7f0e4220d3b8b92a7af3a8c38c15a2,S4A4,客厅窗帘
