"Set","Frequency Or Confidence"
"[citrus fruit,other vegetables,root vegetables,whole milk]","0.005795627859684799"
"[fruit/vegetable juice,other vegetables,whole milk,yogurt]","0.005083884087442806"
"[other vegetables,pip fruit,root vegetables,whole milk]","0.005490594814438231"
"[other vegetables,pip fruit,whole milk,yogurt]","0.005083884087442806"
"[other vegetables,rolls/buns,root vegetables,whole milk]","0.006202338586680223"
"[other vegetables,rolls/buns,whole milk,yogurt]","0.005998983223182512"
"[other vegetables,root vegetables,tropical fruit,whole milk]","0.007015760040671073"
"[other vegetables,root vegetables,whipped/sour cream,whole milk]","0.005185561769191663"
"[other vegetables,root vegetables,whole milk,yogurt]","0.007829181494661922"
"[other vegetables,tropical fruit,whole milk,yogurt]","0.007625826131164209"
"[other vegetables,whipped/sour cream,whole milk,yogurt]","0.005592272496187087"
"[root vegetables,tropical fruit,whole milk,yogurt]","0.005693950177935944"
