"Set","Frequency Or Confidence"
"[baking powder]->whole milk","0.522988505747126400"
"[beef,rolls/buns]->whole milk","0.500000000000000000"
"[beef,yogurt]->whole milk","0.521739130434782600"
"[bottled beer,yogurt]->whole milk","0.560439560439560400"
"[bottled water,butter]->whole milk","0.602272727272727300"
"[brown bread,other vegetables]->whole milk","0.500000000000000000"
"[brown bread,root vegetables]->whole milk","0.560000000000000000"
"[brown bread,tropical fruit]->whole milk","0.533333333333333300"
"[butter,citrus fruit]->whole milk","0.555555555555555500"
"[butter,domestic eggs]->whole milk","0.621052631578947400"
"[butter,other vegetables]->whole milk","0.573604060913705500"
"[butter,root vegetables]->other vegetables","0.511811023622047200"
"[butter,root vegetables]->whole milk","0.637795275590551200"
"[butter,tropical fruit]->other vegetables","0.551020408163265400"
"[butter,tropical fruit]->whole milk","0.622448979591836800"
"[butter,whipped/sour cream]->other vegetables","0.570000000000000100"
"[butter,whipped/sour cream]->whole milk","0.660000000000000000"
"[butter,yogurt]->whole milk","0.638888888888888800"
"[chicken,rolls/buns]->whole milk","0.547368421052631600"
"[chicken,root vegetables]->other vegetables","0.523364485981308500"
"[chicken,root vegetables]->whole milk","0.551401869158878600"
"[citrus fruit,domestic eggs]->whole milk","0.549019607843137300"
"[citrus fruit,other vegetables,root vegetables]->whole milk","0.558823529411764700"
"[citrus fruit,root vegetables,whole milk]->other vegetables","0.633333333333333300"
"[citrus fruit,root vegetables]->other vegetables","0.586206896551724100"
"[citrus fruit,root vegetables]->whole milk","0.517241379310344900"
"[citrus fruit,whipped/sour cream]->other vegetables","0.523364485981308500"
"[citrus fruit,whipped/sour cream]->whole milk","0.579439252336448700"
"[coffee,yogurt]->whole milk","0.520833333333333300"
"[cream cheese ,yogurt]->whole milk","0.532786885245901700"
"[curd,other vegetables]->whole milk","0.573964497041420200"
"[curd,rolls/buns]->whole milk","0.585858585858585900"
"[curd,root vegetables]->other vegetables","0.504672897196261700"
"[curd,root vegetables]->whole milk","0.570093457943925200"
"[curd,tropical fruit]->other vegetables","0.514851485148514900"
"[curd,tropical fruit]->whole milk","0.633663366336633700"
"[curd,tropical fruit]->yogurt","0.514851485148514900"
"[curd,whipped/sour cream]->whole milk","0.563106796116504800"
"[curd,yogurt]->whole milk","0.582352941176470600"
"[domestic eggs,margarine]->whole milk","0.621951219512195200"
"[domestic eggs,other vegetables]->whole milk","0.552511415525114200"
"[domestic eggs,pip fruit]->whole milk","0.623529411764705900"
"[domestic eggs,root vegetables]->other vegetables","0.510638297872340400"
"[domestic eggs,root vegetables]->whole milk","0.595744680851063900"
"[domestic eggs,tropical fruit]->whole milk","0.607142857142857100"
"[domestic eggs,whipped/sour cream]->other vegetables","0.510204081632653100"
"[domestic eggs,whipped/sour cream]->whole milk","0.571428571428571500"
"[domestic eggs,yogurt]->whole milk","0.539007092198581600"
"[frankfurter,root vegetables]->whole milk","0.500000000000000000"
"[frankfurter,tropical fruit]->whole milk","0.548387096774193500"
"[frankfurter,yogurt]->whole milk","0.554545454545454600"
"[frozen vegetables,other vegetables]->whole milk","0.542857142857142800"
"[frozen vegetables,rolls/buns]->whole milk","0.500000000000000000"
"[frozen vegetables,root vegetables]->other vegetables","0.526315789473684200"
"[frozen vegetables,root vegetables]->whole milk","0.535087719298245600"
"[fruit/vegetable juice,other vegetables,yogurt]->whole milk","0.617283950617283800"
"[fruit/vegetable juice,root vegetables]->other vegetables","0.550847457627118600"
"[fruit/vegetable juice,root vegetables]->whole milk","0.542372881355932200"
"[fruit/vegetable juice,whole milk,yogurt]->other vegetables","0.537634408602150500"
"[fruit/vegetable juice,yogurt]->whole milk","0.505434782608695700"
"[hygiene articles,other vegetables]->whole milk","0.542553191489361800"
"[long life bakery product,other vegetables]->whole milk","0.533333333333333300"
"[margarine,rolls/buns]->whole milk","0.537931034482758700"
"[margarine,root vegetables]->other vegetables","0.532110091743119200"
"[newspapers,root vegetables]->other vegetables","0.522123893805309800"
"[newspapers,root vegetables]->whole milk","0.504424778761062000"
"[oil,other vegetables]->whole milk","0.510204081632653100"
"[onions,root vegetables]->other vegetables","0.602150537634408600"
"[onions,whole milk]->other vegetables","0.546218487394958000"
"[other vegetables,pip fruit,root vegetables]->whole milk","0.675000000000000000"
"[other vegetables,pip fruit,yogurt]->whole milk","0.625000000000000000"
"[other vegetables,pip fruit]->whole milk","0.517509727626459200"
